"Deployment","Organization","TemplateFolder","TemplateId","CreatedAt","UpdatedAt","TemplateName","TemplateDisplayName","CreatorName","ActiveUserCount","OrganizationName","OrganizationDisplayName","Contributors"
"eng-dev.demo.coder.com","us-central","kitchen-sink","bbe9e6e1-a04b-4c30-b0ae-e7cbe272ff80","23/04/2025 18:08:08","23/04/2025 18:17:26","kitchen-sink","Universal Workspace","jullian","0","us-central","Coder","jullian (3)"
"eng-dev.demo.coder.com","us-central","provision-orgs","0aa10ed1-bd41-4188-934f-3692b609b238","14/01/2025 03:16:16","21/01/2025 15:57:55","provision-orgs","Provision Organizations","roger","0","us-central","Coder","roger (18)"
"eng-dev.demo.coder.com","us-central","k8s-lightweight","757597c9-4c6d-4e99-8b19-67a196c11f9a","05/02/2025 08:26:49","05/02/2025 08:40:49","k8s-lightweight","K8s Light","jullian","0","us-central","Coder","jullian (4)"
"eng-dev.demo.coder.com","us-central","selenium-grid-standalone","ecc78059-c216-4af9-a1e8-b1471d16bb38","04/06/2025 19:38:44","17/06/2025 21:36:23","selenium-grid-standalone","Selenium Grid Standalone","daveahr","0","us-central","Coder","daveahr (61)"
"eng-dev.demo.coder.com","us-central","Coder-on-K8s","593c3231-cfb8-4e2e-9956-0289c0c6b8ca","03/03/2025 01:51:42","10/03/2025 21:25:15","Coder-on-K8s","Provision Me","roger","0","us-central","Coder","roger (94), matyas (2)"
"eng-dev.demo.coder.com","us-central","kubernetes","2231509c-87e4-4f5d-860a-742549a382da","26/09/2024 19:40:24","17/12/2024 17:25:37","kubernetes","Kubernetes (Process Logging)","coder-eng","1","us-central","Coder","roger (8), coder-eng (7)"
"eng.demo.coder.com","Org2","pod-jetbrains","e530ad7e-78d7-47d0-89f8-0b845a196338","14/04/2025 20:50:51","14/04/2025 21:01:24","pod-jetbrains","","michaelpatterson","0","Org2","Organization 2","michaelpatterson (4), roger (2)"
"eng.demo.coder.com","Org2","aws-linux","d234cc41-bbda-43ae-9bf9-87d5a9c149e7","14/04/2025 20:47:08","14/04/2025 20:47:08","aws-linux","","michaelpatterson","1","Org2","Organization 2","michaelpatterson (1)"
"eng.demo.coder.com","coder","abridge-gpu","8fccf6d6-9ae0-4fe4-af48-dbf506b7c243","18/06/2025 13:28:20","18/06/2025 13:28:20","abridge-gpu","abridge gpu","matyas","0","coder","Coder","matyas (1)"
"eng.demo.coder.com","coder","hkjc-template","8aeeed73-1de6-47c8-bf91-eec7d687ca82","28/05/2025 11:08:08","28/05/2025 13:24:06","hkjc-template","Hong Kong Jockey Club Template","eric","0","coder","Coder","eric (5)"
"eng.demo.coder.com","coder","kubernetes-Process-Logging","af0eaa01-a607-427a-b666-57a1c67fa514","17/12/2024 17:19:19","17/12/2024 17:25:42","kubernetes-Process-Logging","Kubernetes (Process Logging)","roger","2","coder","Coder","roger (5)"
"eng.demo.coder.com","coder","anvbox-jupyter","847abbf0-43bd-492c-95fa-949fbb829445","14/11/2024 17:20:12","30/05/2025 09:44:18","anvbox-jupyter","envbox-jupyter","matyas","2","coder","Coder","eric (12), matyas (9)"
"eng.demo.coder.com","coder","vm-aws-base-windows","f72253f8-c56f-47b5-813e-2b157a297300","16/01/2025 21:37:18","16/01/2025 21:49:02","vm-aws-base-windows","","jullian","2","coder","Coder","jullian (2)"
"eng.demo.coder.com","coder","vm-azure","ec5426a8-84b0-4333-8762-88af5803aad2","13/03/2025 18:46:12","21/03/2025 20:25:50","vm-azure","Azure VM","jullian","1","coder","Coder","jullian (13)"
"eng.demo.coder.com","coder","java-sweg-k8s","7b909b66-0418-4dd0-b50f-8e7e13e632ea","30/06/2025 17:53:32","30/06/2025 18:29:54","java-sweg-k8s","Java SWEG K8s","austen","2","coder","Coder","austen (5)"
"eng.demo.coder.com","coder","aws-windows-dcv","9d5cbb18-0ea7-4730-b8c8-d86177c72c7c","11/03/2025 13:22:37","11/03/2025 13:22:37","aws-windows-dcv","","greg","0","coder","Coder","greg (1)"
